MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,SaleType,SaleCondition,SalePrice,SalePrice_log,NumberBath
RL,70.0,11200,None,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,1965,1965,HdBoard,HdBoard,None,0,3,CBlock,3,3,No,Rec,906,Unf,134,1040,5,Y,SBrkr,1040,0,1040,3,3,5,0,0,Detchd,1965,Unf,1,3,Y,0,0,None,WD,Normal,129500,11.771443882099637,1.0
RL,85.0,11924,None,IR1,Lvl,Inside,NridgHt,1Fam,2Story,9,2005,2006,WdShing,Wd Shng,Stone,286,5,PConc,5,3,No,GLQ,998,Unf,177,1175,5,Y,SBrkr,1182,1142,2324,4,5,11,2,4,BuiltIn,2005,Fin,3,3,Y,147,21,None,New,Partial,345000,12.75130259456002,3.0
RL,71.0,12968,None,IR2,Lvl,Inside,Sawyer,1Fam,1Story,5,1962,1962,HdBoard,Plywood,None,0,3,CBlock,3,3,No,ALQ,737,Unf,175,912,3,Y,SBrkr,912,0,912,2,3,4,0,0,Detchd,1962,Unf,1,3,Y,140,0,None,WD,Normal,144000,11.87757552297847,1.0
RL,91.0,10652,None,IR1,Lvl,Inside,CollgCr,1Fam,1Story,7,2006,2007,VinylSd,VinylSd,Stone,306,4,PConc,4,3,Av,Unf,0,Unf,1494,1494,5,Y,SBrkr,1494,0,1494,3,4,7,1,4,Attchd,2006,RFn,3,3,Y,160,33,None,New,Partial,279500,12.540761149388421,2.0
RL,73.0,10920,None,IR1,Lvl,Corner,NAmes,1Fam,1Story,6,1960,1960,MetalSd,MetalSd,BrkFace,212,3,CBlock,3,3,No,BLQ,733,Unf,520,1253,3,Y,SBrkr,1253,0,1253,2,3,5,1,2,Attchd,1960,RFn,1,3,Y,0,213,GdWo,WD,Normal,157000,11.964007453736912,1.5
RM,51.0,6120,None,Reg,Lvl,Corner,BrkSide,1Fam,1.5Unf,7,1929,2001,Wd Sdng,Wd Sdng,None,0,3,BrkTil,3,3,No,Unf,0,Unf,832,832,5,Y,FuseA,854,0,854,2,3,5,0,0,Detchd,1991,Unf,2,3,Y,48,112,GdPrv,WD,Normal,132000,11.790564777297387,1.0
RL,73.0,11241,None,IR1,Lvl,CulDSac,NAmes,1Fam,1Story,6,1970,1970,Wd Sdng,Wd Sdng,BrkFace,180,3,CBlock,3,3,No,ALQ,578,Unf,426,1004,5,Y,SBrkr,1004,0,1004,2,3,5,1,3,Attchd,1970,Fin,2,3,Y,0,0,None,WD,Normal,149000,11.91170829631447,1.0
RL,72.0,10791,None,Reg,Lvl,Inside,Sawyer,Duplex,1Story,4,1967,1967,MetalSd,MetalSd,None,0,3,Slab,0,0,None,None,0,None,0,0,3,Y,SBrkr,1296,0,1296,2,3,6,0,0,CarPort,1967,Unf,2,3,Y,0,0,None,WD,Normal,90000,11.407576060361786,2.0
RL,66.0,13695,None,Reg,Lvl,Inside,SawyerW,1Fam,1Story,5,2004,2004,VinylSd,VinylSd,None,0,3,PConc,3,3,No,GLQ,646,Unf,468,1114,5,Y,SBrkr,1114,0,1114,3,4,6,0,0,Detchd,2004,Unf,2,3,Y,0,102,None,WD,Normal,159000,11.976665770490767,1.5
RL,70.0,7560,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,1958,1965,BrkFace,Plywood,None,0,3,CBlock,3,3,No,LwQ,504,Unf,525,1029,3,Y,SBrkr,1339,0,1339,3,3,6,0,0,Attchd,1958,Unf,1,3,Y,0,0,MnPrv,COD,Abnorml,139000,11.842236406331555,1.0
RL,101.0,14215,None,IR1,Lvl,Corner,NridgHt,1Fam,2Story,8,2005,2006,VinylSd,VinylSd,BrkFace,380,4,PConc,5,3,Av,Unf,0,Unf,1158,1158,5,Y,SBrkr,1158,1218,2376,4,4,9,1,4,BuiltIn,2005,RFn,3,3,Y,240,154,None,New,Partial,325300,12.692506186542177,3.5
RM,57.0,7449,Grvl,Reg,Bnk,Inside,IDOTRR,1Fam,1.5Unf,7,1930,1950,Wd Sdng,Wd Sdng,None,0,3,PConc,3,3,No,Unf,0,Unf,637,637,5,Y,FuseF,1108,0,1108,3,4,6,1,4,Attchd,1930,Unf,1,3,N,0,0,GdPrv,WD,Normal,139400,11.845109950883979,1.0
RL,75.0,9742,None,Reg,Lvl,Inside,CollgCr,1Fam,1Story,8,2002,2002,VinylSd,VinylSd,BrkFace,281,4,PConc,4,3,No,Unf,0,Unf,1777,1777,5,Y,SBrkr,1795,0,1795,3,4,7,1,4,Attchd,2002,RFn,2,3,Y,171,159,None,WD,Normal,230000,12.345838935721968,2.0
RM,44.0,4224,None,Reg,Lvl,Inside,MeadowV,TwnhsE,1Story,5,1976,1976,CemntBd,CmentBd,None,0,3,PConc,4,3,No,GLQ,840,Unf,200,1040,3,Y,SBrkr,1060,0,1060,3,3,6,1,3,Attchd,1976,Unf,2,3,Y,100,110,None,WD,Normal,129900,11.774527900858468,1.0
RL,71.0,8246,None,IR1,Lvl,Inside,Sawyer,1Fam,1Story,5,1968,2001,Plywood,Plywood,None,0,3,CBlock,3,3,Mn,Rec,188,ALQ,204,1060,5,Y,SBrkr,1060,0,1060,3,4,6,1,3,Attchd,1968,Unf,1,3,Y,406,90,MnPrv,WD,Normal,154000,11.944714374881176,1.0
RL,110.0,14230,None,Reg,Lvl,Corner,NridgHt,1Fam,1Story,8,2007,2007,VinylSd,VinylSd,Stone,640,4,PConc,4,3,No,Unf,0,Unf,1566,1566,5,Y,SBrkr,1600,0,1600,3,4,7,1,4,Attchd,2007,RFn,3,3,Y,0,56,None,WD,Normal,256300,12.454107814022272,2.0
RL,60.0,7200,None,Reg,Lvl,Corner,NAmes,1Fam,1Story,5,1951,2000,Wd Sdng,Wd Sdng,None,0,3,CBlock,3,3,Mn,BLQ,234,Rec,180,900,3,Y,SBrkr,900,0,900,3,4,5,0,0,Detchd,2005,Unf,2,3,Y,222,32,None,WD,Normal,134800,11.811554895830454,1.0
RL,98.0,11478,None,Reg,Lvl,Inside,NridgHt,1Fam,1Story,8,2007,2008,VinylSd,VinylSd,Stone,200,4,PConc,5,3,No,GLQ,1218,Unf,486,1704,5,Y,SBrkr,1704,0,1704,3,4,7,1,4,Attchd,2008,RFn,3,3,Y,0,50,None,WD,Normal,306000,12.631343648903034,2.0
RL,47.0,16321,None,IR1,Lvl,CulDSac,NAmes,1Fam,1Story,5,1957,1997,MetalSd,MetalSd,None,0,3,CBlock,3,3,Gd,BLQ,1277,Unf,207,1484,3,Y,SBrkr,1600,0,1600,2,3,6,2,4,Attchd,1957,RFn,1,3,Y,288,258,None,WD,Normal,207500,12.242891437918386,1.0
RM,60.0,6324,None,IR1,Lvl,Inside,BrkSide,1Fam,1Story,4,1927,1950,MetalSd,MetalSd,None,0,3,BrkTil,3,3,No,Unf,0,Unf,520,520,2,N,SBrkr,520,0,520,1,2,4,0,0,Detchd,1920,Unf,1,2,Y,49,0,None,WD,Normal,68500,11.134603622683905,1.0
C (all),50.0,8500,Pave,Reg,Lvl,Inside,IDOTRR,1Fam,2Story,4,1920,1950,BrkFace,BrkFace,None,0,3,BrkTil,3,3,No,Unf,0,Unf,649,649,3,N,SBrkr,649,668,1317,3,3,6,0,0,Detchd,1920,Unf,1,3,N,0,54,MnPrv,WD,Normal,40000,10.596659732783579,1.0
RL,71.0,8544,None,IR1,Lvl,CulDSac,Sawyer,1Fam,1Story,5,1966,2006,HdBoard,HdBoard,None,0,3,CBlock,3,3,No,Unf,0,Unf,1228,1228,4,Y,SBrkr,1228,0,1228,3,4,6,0,0,Attchd,1966,Unf,1,3,Y,0,65,MnPrv,WD,Normal,149350,11.914054519303125,1.5
RL,85.0,11049,None,Reg,Lvl,Corner,CollgCr,1Fam,1Story,8,2007,2007,VinylSd,VinylSd,None,0,4,PConc,5,3,Av,Unf,0,Unf,1234,1234,5,Y,SBrkr,1234,0,1234,3,4,7,0,0,Attchd,2007,RFn,2,3,Y,0,30,None,WD,Normal,179900,12.100161978566867,2.0
RL,70.0,10552,None,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,1959,1959,BrkFace,BrkFace,None,0,3,CBlock,3,3,No,Rec,1018,Unf,380,1398,4,Y,SBrkr,1700,0,1700,4,4,6,1,4,Attchd,1959,RFn,2,3,Y,0,38,None,WD,Normal,165500,12.016732516077072,1.5
RL,60.0,7313,None,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,9,2005,2005,MetalSd,MetalSd,BrkFace,246,5,PConc,5,3,No,GLQ,1153,Unf,408,1561,5,Y,SBrkr,1561,0,1561,2,5,6,1,4,Attchd,2005,Fin,2,3,Y,203,47,None,WD,Normal,277500,12.533579815765737,2.0
RL,108.0,13418,None,Reg,Lvl,Inside,NridgHt,1Fam,2Story,8,2004,2005,VinylSd,VinylSd,Stone,132,4,PConc,5,3,Av,Unf,0,Unf,1117,1117,5,Y,SBrkr,1132,1320,2452,4,4,9,1,4,BuiltIn,2004,Fin,3,3,Y,113,32,None,WD,Normal,309000,12.6410997921206,3.5
RL,112.0,10859,None,Reg,Lvl,Corner,CollgCr,1Fam,1Story,5,1994,1995,VinylSd,VinylSd,None,0,3,PConc,4,3,No,Unf,0,Unf,1097,1097,5,Y,SBrkr,1097,0,1097,3,3,6,0,0,Attchd,1995,Unf,2,3,Y,392,64,None,WD,Normal,145000,11.884495917930655,1.5
RL,74.0,8532,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650,3,CBlock,3,3,No,Rec,1213,Unf,84,1297,4,Y,SBrkr,1297,0,1297,3,3,5,1,3,Attchd,1954,Fin,2,3,Y,0,0,None,WD,Normal,153000,11.938199736300925,1.0
RL,68.0,7922,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,1953,2007,VinylSd,VinylSd,None,0,3,CBlock,3,3,No,GLQ,731,Unf,326,1057,3,Y,SBrkr,1057,0,1057,3,4,5,0,0,Detchd,1953,Unf,1,3,Y,0,52,None,WD,Abnorml,109000,11.599112335481124,1.0
RL,65.0,6040,None,Reg,Lvl,Inside,Edwards,Duplex,1Story,4,1955,1955,AsbShng,Plywood,None,0,3,PConc,0,0,None,None,0,None,0,0,3,N,FuseP,1152,0,1152,2,2,6,0,0,None,0,None,0,0,N,0,0,None,WD,AdjLand,82000,11.314486721293981,2.0
RL,84.0,8658,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101,3,CBlock,3,3,No,Rec,643,Unf,445,1088,5,Y,SBrkr,1324,0,1324,3,3,6,1,3,Attchd,1965,RFn,2,3,Y,0,138,GdWo,WD,Abnorml,160000,11.982935344196433,2.0
RL,115.0,16905,None,Reg,Lvl,Inside,Timber,1Fam,1Story,5,1959,1959,VinylSd,VinylSd,None,0,3,CBlock,3,3,Gd,BLQ,967,Unf,383,1350,4,Y,SBrkr,1328,0,1328,2,3,5,2,4,Attchd,1959,RFn,1,3,P,0,104,None,WD,Normal,170000,12.04355959836804,1.5
RL,66.5,9180,None,IR1,Lvl,CulDSac,SawyerW,1Fam,SFoyer,5,1983,1983,HdBoard,HdBoard,None,0,3,CBlock,4,3,Av,ALQ,747,LwQ,0,840,4,Y,SBrkr,884,0,884,2,4,5,0,0,Attchd,1983,RFn,2,3,Y,240,0,MnPrv,WD,Normal,144000,11.87757552297847,1.0
RL,70.0,9200,None,IR1,Lvl,CulDSac,CollgCr,1Fam,1Story,5,1975,1980,VinylSd,VinylSd,None,0,3,CBlock,4,3,Av,LwQ,280,BLQ,167,938,3,Y,SBrkr,938,0,938,3,3,5,0,0,Detchd,1977,Unf,1,3,Y,145,0,MnPrv,WD,Normal,130250,11.777218637129327,1.0
RL,70.0,7945,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,1959,1959,BrkFace,Wd Sdng,None,0,3,CBlock,3,3,No,ALQ,179,BLQ,465,1150,5,Y,FuseA,1150,0,1150,3,3,6,0,0,Attchd,1959,RFn,1,3,Y,0,0,None,WD,Normal,141000,11.856522261533737,1.0
RL,61.0,7658,None,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,9,2005,2005,MetalSd,MetalSd,BrkFace,412,5,PConc,5,3,No,GLQ,456,Unf,1296,1752,5,Y,SBrkr,1752,0,1752,2,5,6,1,4,Attchd,2005,RFn,2,3,Y,196,82,None,WD,Normal,319900,12.675766851909591,2.0
RL,48.0,12822,None,IR1,Lvl,CulDSac,Mitchel,1Fam,1.5Fin,7,2003,2003,VinylSd,VinylSd,None,0,4,PConc,5,3,No,GLQ,1351,Unf,83,1434,5,Y,SBrkr,1518,631,2149,1,4,6,1,5,Attchd,2003,RFn,2,3,Y,168,43,None,WD,Abnorml,239686,12.387089184491993,1.5
FV,84.0,11096,None,Reg,Lvl,Inside,Somerst,1Fam,1Story,8,2006,2006,VinylSd,VinylSd,None,0,4,PConc,4,3,Av,GLQ,24,Unf,1632,1656,5,Y,SBrkr,1656,0,1656,3,4,7,0,0,Attchd,2006,RFn,3,3,Y,0,146,None,WD,Normal,249700,12.428019481065613,2.0
RM,33.0,4456,None,Reg,Lvl,Inside,OldTown,2fmCon,2Story,4,1920,2008,MetalSd,MetalSd,None,0,3,BrkTil,3,3,No,Unf,0,Unf,736,736,4,Y,SBrkr,736,716,1452,2,3,8,0,0,None,0,None,0,0,N,0,0,None,New,Partial,113000,11.635151947212842,2.0
RL,66.0,7742,None,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,1966,1966,HdBoard,HdBoard,None,0,3,CBlock,3,3,No,BLQ,763,Unf,192,955,5,Y,SBrkr,955,0,955,3,3,6,0,0,Attchd,1966,Unf,1,3,Y,0,0,MnPrv,WD,Normal,127000,11.751950239425476,1.0
RL,65.0,13869,None,IR2,Lvl,Corner,Gilbert,1Fam,2Story,6,1997,1997,VinylSd,VinylSd,None,0,3,PConc,4,3,Av,GLQ,182,Unf,612,794,4,Y,SBrkr,794,676,1470,3,3,6,0,0,Attchd,1997,Fin,2,3,Y,0,75,None,WD,Normal,177000,12.083910661257521,2.0
RM,52.0,6240,None,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,6,1934,1950,Wd Sdng,Wd Sdng,None,0,3,PConc,3,3,No,Unf,0,Unf,816,816,3,Y,SBrkr,816,0,1176,3,3,6,1,4,Detchd,1985,Unf,2,3,Y,112,0,MnPrv,WD,Normal,114500,11.648338835562747,1.0
RM,110.0,8472,None,IR2,Bnk,Corner,IDOTRR,Duplex,1Story,5,1963,1963,Wd Sdng,Wd Sdng,None,0,2,CBlock,4,3,Gd,LwQ,104,GLQ,0,816,3,N,SBrkr,816,0,816,2,3,5,0,0,CarPort,1963,Unf,2,3,Y,106,0,None,WD,Normal,110000,11.608244735642321,1.0
RL,68.0,50271,None,IR1,Low,Inside,Veenker,1Fam,1Story,9,1981,1987,WdShing,Wd Shng,None,0,4,CBlock,5,3,Gd,GLQ,1810,Unf,32,1842,4,Y,SBrkr,1842,0,1842,0,4,5,1,4,Attchd,1981,Fin,3,3,Y,857,72,None,WD,Normal,385000,12.861001210669146,0.5
RL,60.0,7134,None,Reg,Bnk,Inside,NAmes,1Fam,SLvl,5,1955,1955,MetalSd,MetalSd,None,0,3,CBlock,3,3,No,ALQ,384,Unf,0,384,3,Y,SBrkr,1360,0,1360,3,3,6,1,3,Detchd,1962,Unf,2,3,Y,0,50,MnPrv,WD,Normal,130000,11.775297421715827,1.0
RL,100.0,10175,None,IR1,Lvl,Inside,NAmes,1Fam,1Story,6,1964,1964,HdBoard,Plywood,BrkFace,272,3,CBlock,3,3,No,BLQ,490,Unf,935,1425,4,Y,SBrkr,1425,0,1425,3,3,7,1,4,Attchd,1964,RFn,2,3,Y,0,0,None,WD,Normal,180500,12.103491596905931,2.0
FV,24.0,2645,Pave,Reg,Lvl,Inside,Somerst,Twnhs,2Story,8,1999,2000,MetalSd,MetalSd,BrkFace,456,4,PConc,4,3,No,GLQ,649,Unf,321,970,5,Y,SBrkr,983,756,1739,3,4,7,0,0,Attchd,1999,Fin,2,3,Y,115,0,None,WD,Abnorml,172500,12.058158312538197,2.5
RL,89.0,11645,None,IR1,Lvl,Corner,CollgCr,1Fam,2Story,7,2004,2004,VinylSd,VinylSd,None,0,4,PConc,4,3,No,Unf,0,Unf,860,860,5,Y,SBrkr,860,860,1720,3,4,7,0,0,Attchd,2004,RFn,2,3,Y,0,70,None,WD,Normal,196500,12.188422799337028,2.5
RL,66.0,13682,None,IR2,HLS,CulDSac,StoneBr,1Fam,2Story,10,2006,2006,VinylSd,VinylSd,BrkFace,1031,5,PConc,5,3,Gd,Unf,0,Unf,1410,1410,5,Y,SBrkr,1426,1519,2945,3,4,10,1,4,BuiltIn,2006,Fin,3,3,Y,192,0,None,New,Partial,438780,12.991755706536901,3.5
RL,60.0,7200,None,Reg,Bnk,Inside,CollgCr,1Fam,1Story,5,1972,1972,HdBoard,HdBoard,None,0,3,CBlock,3,3,Av,ALQ,632,Unf,148,780,5,Y,SBrkr,780,0,780,2,3,4,0,0,Detchd,1973,Unf,1,3,Y,196,0,MnPrv,WD,Normal,124900,11.735276702486741,1.0
RL,63.0,13072,None,Reg,Lvl,Inside,SawyerW,1Fam,1Story,6,2004,2004,VinylSd,VinylSd,None,0,3,PConc,4,3,No,ALQ,941,Unf,217,1158,5,Y,SBrkr,1158,0,1158,3,4,5,0,0,Detchd,2006,Unf,2,3,Y,0,50,None,New,Partial,158000,11.970356641102999,1.5
RM,60.0,7200,None,Reg,Lvl,Inside,IDOTRR,1Fam,2.5Unf,5,1920,1996,MetalSd,MetalSd,None,0,3,BrkTil,3,2,No,Unf,0,Unf,530,530,3,N,SBrkr,581,530,1111,3,2,6,0,0,Detchd,1935,Unf,1,3,N,0,0,None,WD,Normal,101000,11.522885696764481,1.0
RL,44.0,6442,None,IR1,Lvl,Inside,NridgHt,TwnhsE,1Story,8,2006,2006,VinylSd,VinylSd,Stone,178,4,PConc,4,4,Mn,GLQ,24,Unf,1346,1370,5,Y,SBrkr,1370,0,1370,2,4,6,1,4,Attchd,2006,RFn,2,3,Y,120,49,None,WD,Normal,202500,12.218500103788143,2.0
RM,50.0,10300,None,IR1,Bnk,Inside,OldTown,1Fam,2Story,7,1921,1950,Stucco,Stucco,None,0,3,BrkTil,3,3,No,Unf,0,Unf,576,576,4,Y,SBrkr,902,808,1710,3,3,9,0,0,Detchd,1990,Unf,2,3,Y,12,11,GdPrv,WD,Normal,140000,11.849404844423074,2.0
RL,70.0,9375,None,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,1997,1998,VinylSd,VinylSd,BrkFace,573,3,PConc,4,3,No,GLQ,739,Unf,318,1057,5,Y,SBrkr,1057,977,2034,3,4,8,0,0,Attchd,1998,RFn,2,3,Y,576,36,GdPrv,WD,Normal,219500,12.299112067295642,2.5
RL,76.0,9591,None,Reg,Lvl,Inside,NridgHt,1Fam,2Story,8,2004,2005,VinylSd,VinylSd,BrkFace,344,4,PConc,5,3,Av,Unf,0,Unf,1143,1143,5,Y,SBrkr,1143,1330,2473,4,4,9,1,4,BuiltIn,2004,RFn,3,3,Y,192,151,None,WD,Normal,317000,12.666660207428574,2.5
RL,73.0,19900,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,7,1970,1989,Plywood,Plywood,BrkFace,287,3,CBlock,4,3,Gd,GLQ,912,Unf,1035,1947,3,Y,SBrkr,2207,0,2207,3,3,7,1,4,Attchd,1970,RFn,2,3,Y,301,0,None,WD,Normal,180000,12.100717685412471,2.0
RL,72.0,10665,None,IR1,Lvl,Inside,CollgCr,1Fam,1Story,7,2003,2003,VinylSd,VinylSd,BrkFace,167,4,PConc,4,3,Av,GLQ,1013,Unf,440,1453,5,Y,SBrkr,1479,0,1479,3,4,7,0,0,Attchd,2003,RFn,2,3,Y,144,29,None,WD,Normal,226000,12.328294703023396,2.0
RM,47.0,4608,None,Reg,Lvl,Corner,OldTown,1Fam,1Story,4,1945,1950,MetalSd,MetalSd,None,0,3,CBlock,3,3,No,Unf,0,Unf,747,747,3,Y,SBrkr,747,0,747,2,3,4,0,0,Attchd,1945,Unf,1,3,Y,0,0,None,WD,Normal,80000,11.289794413577894,1.0
RL,81.0,15593,None,Reg,Lvl,Corner,ClearCr,1Fam,1.5Fin,7,1953,1953,BrkFace,AsbShng,None,0,4,CBlock,3,3,No,BLQ,603,Unf,701,1304,3,Y,SBrkr,1304,983,2287,3,3,7,1,3,Attchd,1953,Fin,2,3,Y,0,21,None,WD,Normal,225000,12.323860125621126,2.0
RL,95.0,13651,None,IR1,Lvl,Inside,NAmes,1Fam,1Story,7,1973,1973,Plywood,Plywood,BrkFace,1115,3,CBlock,4,3,Gd,ALQ,1880,Unf,343,2223,5,Y,SBrkr,2223,0,2223,3,3,8,2,4,Attchd,1973,Fin,2,3,Y,300,0,None,WD,Normal,244000,12.404927602627597,2.0
RL,69.0,7599,None,Reg,Lvl,Corner,Mitchel,1Fam,1Story,4,1982,2006,HdBoard,Plywood,None,0,3,CBlock,3,3,No,ALQ,565,Unf,280,845,3,Y,SBrkr,845,0,845,2,3,4,0,0,Detchd,1987,Unf,2,3,Y,0,0,None,WD,Normal,129500,11.771443882099637,1.0
RL,74.0,10141,None,IR1,Lvl,Corner,Gilbert,1Fam,2Story,7,1998,1998,VinylSd,VinylSd,BrkFace,40,3,PConc,4,3,No,Unf,0,Unf,832,832,4,Y,SBrkr,885,833,1718,3,3,7,1,3,Attchd,1998,Fin,2,3,Y,0,94,None,WD,Normal,185000,12.128116509451258,2.5
RL,85.0,10200,None,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,1954,2003,Wd Sdng,Wd Sdng,BrkFace,104,3,CBlock,3,3,No,ALQ,320,BLQ,404,1086,4,Y,SBrkr,1086,0,1086,3,3,6,0,0,Attchd,1989,Unf,2,3,Y,0,0,GdWo,WD,Normal,144900,11.88380602959621,1.0
RM,60.0,5790,None,Reg,Lvl,Corner,OldTown,1Fam,2Story,3,1915,1950,VinylSd,VinylSd,None,0,4,CBlock,2,3,No,Unf,0,Unf,840,840,4,N,SBrkr,840,765,1605,3,3,8,0,0,Detchd,1915,Unf,1,3,Y,0,0,None,WD,Normal,107400,11.58432477200052,2.0
RM,21.0,1596,None,Reg,Lvl,Inside,MeadowV,Twnhs,SLvl,4,1973,1973,CemntBd,CmentBd,None,0,3,CBlock,4,3,Gd,GLQ,462,Unf,0,462,3,Y,SBrkr,526,462,988,2,3,5,0,0,BuiltIn,1973,Unf,1,3,Y,120,101,GdWo,WD,Normal,91000,11.418625774449598,1.0
RL,73.0,8475,None,IR1,Lvl,Inside,NAmes,1Fam,1Story,4,1956,1956,VinylSd,VinylSd,None,0,3,CBlock,3,3,No,ALQ,228,Unf,724,952,5,Y,FuseA,952,0,952,2,3,4,0,0,Detchd,1956,Unf,1,3,Y,0,0,None,WD,Normal,135750,11.818577604251555,1.0
